virtual observations of ks
5
PNO
x
y
ks
soft info
  1.00 790.00 520.00  -5.31   1.00
  2.00 990.00 470.00  -2.10   1.00
  3.00 720.00 360.00  -3.96   1.00
  4.00 990.00 100.00  -5.33   1.00
  5.00 710.00 440.00  -5.22   1.00
  6.00  20.00 710.00  -6.08   1.00
  7.00 940.00 120.00  -5.27   1.00
  8.00 480.00  80.00  -5.38   1.00
  9.00 360.00 370.00  -3.95   1.00
 10.00 240.00  40.00  -3.56   1.00
 11.00 600.00 200.00  -5.81   1.00
 12.00 460.00 480.00  -5.20   1.00
 13.00 640.00 150.00  -7.58   1.00
 14.00 100.00 720.00  -4.55   1.00
 15.00 830.00 670.00  -6.30   1.00
 16.00 760.00 440.00  -4.28   1.00
 17.00 130.00 450.00  -3.87   1.00
 18.00 720.00 510.00  -3.40   1.00
 19.00 580.00 530.00  -5.79   1.00
 20.00 650.00 580.00  -3.50   1.00
 21.00 300.00 370.00  -5.71   1.00
 22.00 390.00 340.00  -5.63   1.00
 23.00 570.00 180.00  -4.57   1.00
 24.00 970.00  90.00  -5.35   1.00
 25.00 150.00 400.00  -4.59   1.00
 26.00 820.00 810.00  -5.97   1.00
 27.00 530.00  20.00  -4.69   1.00
 28.00 200.00 240.00  -6.55   1.00
 29.00 300.00 940.00  -4.20   1.00
 30.00 130.00 230.00  -6.73   1.00
 31.00 800.00 790.00  -4.80   1.00
 32.00 890.00 420.00  -4.00   1.00
 33.00 700.00 120.00  -7.32   1.00
 34.00 370.00 640.00  -6.46   1.00
 35.00 280.00 870.00  -3.30   1.00
 36.00 630.00 160.00  -5.51   1.00
 37.00 440.00 610.00  -4.75   1.00
 38.00 850.00 120.00  -3.83   1.00
 39.00 150.00 630.00  -3.72   1.00
 40.00 820.00 840.00  -4.46   1.00
 41.00  80.00 950.00  -8.54   1.00
 42.00 400.00 420.00  -2.92   1.00
 43.00 720.00 280.00  -4.71   1.00
 44.00 780.00 930.00  -5.64   1.00
